;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTNAME800152;Provinces Brought Under Control;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800152;With the patriot rebellion now over, our provinces have now been brought under control and $COUNTRY_ADJ$ governors are once again in command.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME810055;$COUNTRY_ADJ$ Independence!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC810055;Rebel leaders have announced from $CAPITAL$ that $COUNTRY$ has at last achieved independence. What this means for $COUNTRY$'s future is so far unknown, but for the moment it seems that the government will proceed intact-- save for the fact that it is no longer beholden to its former overlord.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME810056;The New Socialist Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC810056;Cheering crowds in $CAPITAL$ are celebrating the toppling of the old $COUNTRY_ADJ$ government, now replaced by a new and socialist order dedicated to social reform within all levels of the $COUNTRY_ADJ$ government. Despite their recent ascent to power, they have already begun to institute changes in $COUNTRY$ that are being felt here and abroad.;;;;;;;;;;;;x,,,,,,,,
EVTNAME810057;The Colonial Regime Overthrown!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC810057;The old $COUNTRY_ADJ$ regime leftover from our days as a colony are now over-- $COUNTRY$ is once more an African nation, truly belonging to the people who have lived here since long before the Europeans arrived.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME1316081;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316081;A drunken riot by a large group of British sailors ashore at Kowloon has resulted in the death of a local man. By rights, the sailors should be tried and executed by the Qin magistrate. The British, however, have demanded extraterritoriality-- meaning their citizens would be tried by British judges. This will inevitably lead to their release and the anger of our citizens, but demanding these mens' executions could lead to war.;;;;;;;;;;;;x,,,,,,
EVTNAME1316083;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316083;The $FROMCOUNTRY_ADJ$ rulership has signed our peace treaty, granting us a concession port on their coast as well as reparations. This has improved relations between our countries tremendously, and should go a long way to ensuring $COUNTRY_ADJ$ influence in China remains strong.;;;;;;;;;;;;x,,,,,,,,
EVTNAME1316084;$FROMCOUNTRY$ has Refused!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316084;The $FROMCOUNTRY_ADJ$ have refused to submit. The war must go on.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1316085;The Treaty of Shimonoseki;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316085;The war with $FROMCOUNTRY$ is not going well. The damnable Japanese are in our lands and blockading our ports, and to the embarassment of our government there seems to be little we can do to stop them. $FROMCOUNTRY_ADJ$ diplomats have approached us to negotiate a 'fair' settlement-- hand over Formosa and pay reparations. While we could drag the war on and see if the $FROMCOUNTRY_ADJ$ have the wherewithal to finish their assault, it might be in our best interest to give them what they want, though the loss to our prestige would be considerable.;;;;;;;;;;;;x,,,,,,,
EVTNAME1316086;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316086;The $FROMCOUNTRY_ADJ$ rulership has signed our peace treaty, granting us Formosa as well as reparations. This has improved relations between our countries tremendously, and should go a long way to ensuring $COUNTRY_ADJ$ influence in Asia remains strong.;;;;;;;;;;;;x,,,,,,,,
EVTDESC1316175;We have lost all patience with the barbarians who call themselves our 'masters'. They ignore our laws, our customs, and force themselves upon the generosity of the $COUNTRY_ADJ$ throne at every opportunity. It is time we turned them out, refused them their free reign in our lands and ports, and demonstrated the true might of our Emperor.;;;;;;;;;;;;x,,,,,,
EVTNAME1316176;$COUNTRY_ADJ$ Envoy Ejected;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316176;Relations have been cool with $FROMCOUNTRY$, laced with bitterness over our nation's superiority. Lately the situation has reached a boiling point, and we have received a report that the $COUNTRY_ADJ$ envoy to the $FROMCOUNTRY_ADJ$ court has been ejected. Indeed, $COUNTRY_ADJ$ nationals throughout $FROMCOUNTRY$ are reporting harassment and outright violence. $COUNTRY_ADJ$ are being refused berth at Chinese harbors. This is a systematic campaign by the $FROMCOUNTRY_ADJ$ emperor to reduce our influence.;;;;;;;;;;;;x,,,,,,,
EVTNAME1316180;Empire of the Great Qin;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316180;China has no need for, nor interest in, foreigners and their gifts no matter how ingenious they may be. It is only due to the emperor's generosity that foreigners are allowed to trade at all, and all such trade must take place at our will. The yi barbarians should tremble as they obey us and show no negligence! Barbarians shall bow down before the Chinese emperor in the manner customary for tributary envoys.;;;;;;;;;;;;x,,,,,,,
EVTNAME1316181;The Arrow Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1316181;Qin officials recently boarded the Arrow, a Chinese-owned ship (a lorcha) that was suspected of piracy and smuggling. Twelve Chinese crew members were arrested on suspicion of piracy by the Qin authorities. British officials have demanded the release of the sailors, however, claiming that because the ship had recently been British-registered, it was under their protection. The Imperial court has been enraged by this claim, suggesting that agreeing to British demands would give smugglers free reign throughout China.;;;;;;;;;;;;x,,,,,
EVTDESC1316182;Qin officials recently boarded the Arrow, a ship that-- according to all reports-- was flying British colors at the time. The Chinese claim this isn't the case, and we've received news that they intend to crack down on the opium trade throughout the Empire. The British government is up in arms, saying that we must exert our influence over the Qin if we are to retain our position in the Far East.;;;;;;;;;;;;x,,,,,,,
EVTNAME131709;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131709;An incident that began with drunken sailors murdering a Chinese man has escalated into a larger crisis with the Qin government. We have insisted that these sailors be tried by a British judge-- the barbaric Chinese judicial system would result in these men getting anything but a fair trial. The chinese have demanded the men be turned over, and what's more that they be given the right to punish British citizens as needed. The confrontation has resulted in larger trade sanctions being applied against British merchants, and threats of worse. Our prestige as an Empire to be reckoned with is being threatened.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131710;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131710;In a display of diplomatic force, $FROMCOUNTRY_ADJ$ diplomats have forced $COUNTRY$ to sign a treaty with them, forcing numerous trade as well as territory concessions.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131711;The Simla Convention;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131711;British diplomats have approached the Tibet government, hoping to broker a peaceful arrangement between Tibet and China now that Tibet is independent. No doubt they intend to gain influence and territory in our nation, as well as an ally against Chinese aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,
EVTDESC131712;British diplomats have approached the $COUNTRY_ADJ$ government, hoping to broker a peaceful arrangement between Tibet and $COUNTRY$ now that Tibet is independent. No doubt they intend to gain influence and territory in Tibet, as well as an ally against $COUNTRY_ADJ$ aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,
EVTNAME131713;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131713;$FROMCOUNTRY_ADJ$ have agreed to the arrangements made at the Simla Convention, and our relations with them have improved as a result-- not to mention our prestige.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131714;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131714;$FROMCOUNTRY_ADJ$ have refused the arrangements made at the Simla Convention, and our relations with them have cooled as a result.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131715;The New Army;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131715;Our efforts to modernize the Beiyang army have borne fruit, but this has necessitated the division of authority among regional forces. The generals in charge of these forces, 'warlords' as some call them, have been gaining a great deal of power. They are part of the Beiyang Army, but fight amongst themselves... And, far worse, are critical of the $COUNTRY_ADJ$ government. We will need to watch these generals carefully.;;;;;;;;;;;;x,,,,
EVTNAME131720;Spread of Anhui Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131720;Warlord influence has begun to spread into $STATENAME$. These generals are still loyal to $COUNTRY$, but it is becoming increasingly apparent that they are taking control of a significant portion of the country. Officials in $CAPITAL$ are alarmed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131721;Spread of Guangdong Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131722;Spread of Guangxi Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131723;Spread of Hunan Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131724;Spread of Fengtian Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131725;Spread of Ma Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131726;Spread of Yunnan Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131727;Spread of Shanxi Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131728;Spread of Sichuan Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131729;Spread of Xinjiang Influence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131730;The Warlord Era;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131730;Resistance against the $CAPITAL$ government has culminated in a breakdown in authority. What began with several of the outlying warlords declaring their indepedence has ended with the most powerful generals in the Beiyang Army struggling for control. A contest has begun regarding who will control the future of China's destiny, and most are certain it will not be long before the entire nation is engulfed in war.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131735;The Struggle for China;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131735;Now that we are free, we must choose where we stand in the ensuing struggle for the nation's destiny: either side with the Kuomintang and fight for domination of the republic or side with the Beiyang and fight for domination of a united China. Alternatively, we can declare our neutrality in the conflict and let the chips fall where they may.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131736;The Guominjun Clique;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131736;A $COUNTRY_ADJ$ general by the name of Feng Yuxiang has betrayed his superiors and broken off from the Beiyang armies. He and his supporters have taken the territory under their control and formed a new clique, swearing to topple the $COUNTRY_ADJ$ government.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131740;Leader of the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131740;The leaders of the Kuomintang are preparing for their drive on Beijing, and $COUNTRY$ is expected to answer the call. Either we side with Nationalist China now, or we must abandon the Kuomintang cause and seek our own destiny.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131741;$FROMCOUNTRY$ Joins the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131741;$FROMCOUNTRY$ has answered the call, and will unite their forces with ours.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131742;The War of Reunification;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131742;The $COUNTRY_ADJ$ people are crying out for the nation to once again unify. We must gather our strength and strike out at those who would divide China, leaving it weak for foreigners to prey upon. Already the banners are in the streets, and $COUNTRY$'s generals are saying now is the time to launch an offensive.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131743;War with $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131743;We have received reports that the $FROMCOUNTRY_ADJ$ army is massing on our mutual border, ready to make a massive offensive into $COUNTRY_ADJ$ territory. It seems a war is upon us, whether we like it or not: either they destroy us or we destroy them.;;;;;;;;;;;;x,,,,,,,,
EVTNAME131745;Chinese Reunification;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131745;The call has come from the capital: the era of warlords is over, and all the Chinese peoples must unite under a single flag. This means $COUNTRY$ must either submit to Beijing's rule or face more war against a strong and unified foe. Your generals stand ready to receive your command.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME131746;The Island of Formosa;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC131746;Now that we own the island of Formosa, the local Min population has begun to organize itself-- presumably towards the end of breaking away from $COUNTRY_ADJ$ control.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800012;Intervention in $FROMCOUNTRY$?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800012;We have been secretly approached by certain members within the $FROMCOUNTRY_ADJ$ government, suggesting that $COUNTRY_ADJ$ intervention to free them from foreign control might be in both our interests. $FROMCOUNTRY$ would be free to seek its own destiny, while $COUNTRY$ would gain an ally. The catch, of course, is that the attempt could look like interference to the rest of the world... and earn us the enmity of $FROMCOUNTRY$'s rulers in particular. If we make the attempt, we should learn of the results within a week at the most.;;;;;;;;;;;;x,,,,,
EVTNAME800013;$FROMCOUNTRY$ Declares Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800013;A foreign power has meddled in the affairs of $FROMCOUNTRY$, taking advantage of the unrest there to engineer a coup which has freed them from our control. Our trusted servants in that nation have been either arrested or expelled, and now the world watches for our response.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800014;$FROMCOUNTRY$ Declares Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800014;A foreign power has meddled in the affairs of $FROMCOUNTRY$, taking advantage of the unrest there to engineer a coup which has freed them from our control. Our trusted servants in that nation have been either arrested or expelled, and now the world watches for our response.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800015;$FROMCOUNTRY$ Refuses to Intervene;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800015;The answer from $FROMCOUNTRY$ is clear: they won't intervene in our internal affairs. We are on our own.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800016;Intervention Failed;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800016;$FROMCOUNTRY$ attempted to intervene, but the resulting orgy of violence in $CAPITAL$ has failed to drive out the influence of our overlord. Worse, it has resulted in $FROMCOUNTRY_ADJ$ influence in $COUNTRY$ being greatly damaged, as many see them as instigators rather than would-be liberators.;;;;;;;;;;;;x,,,,,,,
EVTNAME800017;Free At Great Cost;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800017;$FROMCOUNTRY$ has supported the coud d'etat in $CAPITAL$, but with the change came an orgy of violence that has seen $FROMCOUNTRY_ADJ$ influence in $COUNTRY$ damaged along with that of our overlord. Many people in $COUNTRY$ are left with hard feelings, and see $FROMCOUNTRY$ as an instigator rather than a liberator. What will come next depends entirely on whether reprisals will come our way.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800018;Free At Last!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800018;$FROMCOUNTRY_ADJ$ intervention has succeeded in freeing our government from foreign rule. After an orgy of violence in $CAPITAL$, citizens are celebrating in the streets. $COUNTRY$ has a new destiny as a truly independent nation... provided no reprisals come out way, of course.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800021;Attempted Coup in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800021;A foreign power attempted to use their influence in $FROMCOUNTRY$ to take advantage of the unrest there and free them from our control. Their efforts have come to naught, and their agents have been arrested and many of the $FROMCOUNTRY_ADJ$ malcontents exposed and imprisoned. The question remains, however, as to what we will do in response to this outrage.;;;;;;;;;;;;x,,,,,,,
EVTNAME800022;Attempt Thwarted;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800022;Our attempt to interfere in $FROMCOUNTRY$'s government was thwarted. We have lost influence there, and angered their overlord. This may lead to war, but we will have to wait and see what develops.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800023;$FROMCOUNTRY$ Freed At Great Cost;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800023;Our attempt to engineer a coup in $FROMCOUNTRY$ was successful, but at the cost of a great deal of our influence there. The $FROMCOUNTRY_ADJ$ government is angry, and it's possible their overlords may attempt to retaliate either against them or against us. We will have to wait and see what develops of this.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800024;$FROMCOUNTRY$ is Free!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800024;Our attempt to engineer a coup in $FROMCOUNTRY$ was successful, and they are now an independent country as well as a useful ally. It's possible their overlords may attempt to retaliate either against them or against us. We shall have to wait and see what develops.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME880130;Reactionary Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880130;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ reactionary party. Aristocrats have allegedly been receiving payments and other illegal benefits for supporting the cause, while the party leader is shown to have made a fortune with sensitive national information. This has been declared beyond the pale even by reactionary supporters and has caused a huge uproar within $COUNTRY$, severely damaging the reactionary cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,
EVTNAME880140;Conservative Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880140;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ conservative party. Party leaders were allegedly paid secretly by local land owners to tweak laws in their favor, governmental positions given to favorites, goods stolen from  government warehouses - the list goes on and on. This has been declared beyond the pale even by conservative supporters and has caused a huge uproar within $COUNTRY$, severely damaging the conservative cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,
EVTNAME880150;Liberal Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880150;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ liberal party. Popular candidates have allegedly been involved in smuggling of illicit goods, used questionable tactics to buy votes and speculated on investments with government funds. This has been declared beyond the pale even by liberal supporters and has caused a huge uproar within $COUNTRY$, severely damaging the liberal cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,
EVTNAME880160;Anarcho-Liberal Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880160;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ anarcho-liberal party. Several wealthy businessmen evaded taxes with the help of party members, who in return received kickbacks and a great deal of illegal funding for the party. This has been declared beyond the pale even by anarcho-liberal supporters and has caused a huge uproar within $COUNTRY$, severly damaging the anarcho-liberal cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,
EVTNAME880170;Socialist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880170;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ socialist party. Illegal union activity, blackmail of important citizens, mistreatment of servants - the facts speak for themselves. This has been declared beyond the pale even by socialist supporters and has caused a huge uproar within $COUNTRY$, severely hurting the socialist cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,
EVTNAME880180;Communist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880180;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ communist party. While preaching water for the masses, important communist party officals appear to drink wine. Police has secured several party coffers filled with dirty money from illegal activities, stolen art and conterfeit documents. This has been declared beyond the pale even by communist supporters, severely hurting the communist cause in $COUNTRY$.;;;;;;;;;;;;;x,,,,,,
EVTNAME880190;Fascist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880190;Rumors were around for some time, but a newspaper has finally published evidence of a wide-reaching scandal affecting the $COUNTRY_ADJ$ fascist party. A militant group associated with the fascists was revealed to have murdered several socialist politicians, tortured priests and attempted to burn the mansion of a wealthy minority leader. This has been declared beyond the pale even by fascist supporters and has caused a huge uproar within $COUNTRY$, severly damaging the fascist cause.;;;;;;;;;;;;;x,,,,,,,
EVTNAME880200;Grave Consequences;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880200;As more and more evidence against the ruling party has come to light, the $COUNTRY_ADJ$ government has declared it has no choice but to resign and call an election. The decision was made after several weeks of heated debate, and it is already well-known that certain members of the government-- those most sorely hit by the scandal-- have been repudiated by the ruling party and will not be seeking re-election. How this will affect the government's chances is so far unknown.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME880210;New Evidence Worsens Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC880210;Investigation of the current party scandal by the $COUNTRY_ADJ$ press has brought to light a number of interesting facts. It seems that abuse of power and influence goes well beyond what was initially revealed. Only the surface of this affair has been touched so far, and God only knows what might turn up within the next few weeks. No-one in $COUNTRY$ appears to be discussing anything else at the moment, and already there are calls in the press for the $COUNTRY_ADJ$ government to step down.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999000;National Debate: Trade Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999000;The intensive election campaign has reached the boiling point in $COUNTRY$, where a fierce trade policy debate pits the friends of free trade against the pals of protectionism in a rough rumble-and-tumble to determine the future of our nation's traders. Free-traders argue that goods must be allowed to freely cross all borders, while protectionists argue that our nation's fragile industries need protection from dangerous foreign competition threatening to undo them. Which path will $COUNTRY$ tread, as it decides on: Free trade, or Protectionism?;;;;;;;;;;;;;x,,,,,,
EVTOPTA999000;Our trade must be protected from destructive foreign competition!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999000;Let the debate take its own course, and let the chips fall where they may!;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTC999000;Freedom of trade shall not perish from this Earth!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999001;National Debate: Economic Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999001;The debate had been going on for several hours, when a candidate stepped forward and presented arguments for their cause which silenced all opponents.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999001;Decisive arguments for Laissez Faire.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999001;Decisive arguments for Interventionism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999001;Decisive arguments for State Capitalism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999001;Decisive arguments for Planned Economy.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999002;National Debate: Religious Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999002;'The morality and virtue of our people have started to decline!' This statement caused much stir among the debaters of toleration and religious plurality. They have started to question the country's view on religion.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999002;There are no Gods!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999002;Religion is not a political issue!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999002;Let the people have their faith.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999002;There is one faith and one faith only!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999003;National Debate: Citizenship Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999003;Two debaters are arguing heatedly about their views. The rest of the hall sits dumbfounded when words like aliens, minorities, ethnic and cultural groups are thrown between the two. One wish that immigrants should adapt to the dominant culture while the other believes that they should retain their cultural heritage.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999003;Give them residency.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999003;We need to limit their citizenship.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999003;Let them have full citizenship.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999004;National Debate: War Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999004;Patriots and pacifists are fighting in the townhouse, using words to hurt and kill their enemies. A long since dead and buried dispute between $COUNTRY$ and its neighbor has once again shown its ugly head. Patriots wish to invade the country while pacifists believe that there are other ways to resolve the dispute.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999004;We are patriots and we are going to fight for our country!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999004;Violence can be used, but in this situation it would be meaningless.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTC999004;War between countries is never good.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999004;This can be solved without violence.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999010;The Political Campaign Of $YEAR$;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999010;The $COUNTRY_ADJ$ political parties have begun a nationwide election campaign. So far, the effects have been quite limited, but in the end, one party will gain the upper hand. Advisors state that we could try to influence the outcome ourselves.;;;;;;;;;;;;;x,,,,,,,
