#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
invest_in_irish_desc;In order to bring the Irish up to par as an integral part of the British Empire, a great deal of investment will be needed-- to not only upgrade the decaying institutions which have been governing the island for centuries, but to also end the system of absentee landowners which so pervades the island's bureaucracy and which makes it a model of inefficiency. Only once that is done can the Irish begin to be integrated as equal subjects under British law.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
invest_in_irish_title;Invest in the Irish;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bosnia_to_YUG_desc;Our Bosnian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bosnia_to_YUG_title;Invite Bosnia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bulgaria_to_YUG_desc;While the Bulgarians are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_bulgaria_to_YUG_title;Invite Bulgaria Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_croatia_to_YUG_desc;Our Croatian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_croatia_to_YUG_title;Invite Croatia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_greece_to_YUG_desc;While the Greeks are not truly considered part of the Slavic culture and are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_greece_to_YUG_title;Invite Greece Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_macedonia_to_YUG_desc;While the Macedonians are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_macedonia_to_YUG_title;Invite Macedonia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_montenegro_to_YUG_desc;Our Montenegrin neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_montenegro_to_YUG_title;Invite Montenegro Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_serbia_to_YUG_desc;Our Serbian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_serbia_to_YUG_title;Invite Serbia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_slovenia_to_YUG_desc;Our Slovenian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_slovenia_to_YUG_title;Invite Slovenia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
irish_integration_desc;Now that the Irish are equal subjects under British law, steps may be taken to integrate them more fully into overall British culture.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
irish_integration_title;Irish Integration;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
italia_irredenta_desc;The Italian Resurgence movement strove for the transfer to the Kingdom of Italy of all territories in the immediate vicinity of the Kingdom which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Austrian lands in Italy proper, but it also meant territorial ambitions further into Dalmatia, and Austria.;;;;;;;;;;;x,
italia_irredenta_itp_desc;The Italian Irredentist movement strove for the transfer to the Kingdom of Italy of all territories in the immediate vicinity of the Kingdom which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Austrian lands in Italy proper, but it also meant territorial ambitions further into Dalmatia, and Austria.;Le mouvement irrÈdentiste voulait voir transfÈrÈs ÅEla couronne italienne tous les territoires limitrophes peuplÈs majoritairement ou en partie d'italiens. Cela concerne non seulement les possessions autrichiennes en Italie, mais aussi des territoires en Dalmatie et en Autriche.;Die italienische Irredentistenbewegung strebte danach, alle Gebiete in der unmittelbaren Umgebung des Kˆnigreichs Italien, die tats‰chlich oder vermeintlich grˆﬂtenteils von Italienischst‰mmigen bewohnt wurden, dem Kˆnigreich anzugliedern. Dies beinhaltete nicht nur AnsprÅEhe auf ˆsterreichische L‰ndereien in italienischem Besitz, sondern bedeutete auch territoriale AnsprÅEhe weiter nach Dalmatien und ÷sterreich hinein.;;El movimiento irredentista italiano aspiraba a obtener para Italia todos los territorios vecinos del joven reino que estaban, mayoritaria o parcialmente poblados por personas de etnia italiana. Esto no solo inclu˙} los territorios austriacos en Italia propiamente dicha, sino tambiÈn regiones diversas en Dalmacia y el interior de Austria.;;;;;;;;;x
italia_irredenta_itp_title;Italia Irredenta;Italia Irredenta;Italia Irredenta;;Italia Irredenta;;;;;;;;;x
italia_irredenta_title;Il Risorgimento;;;;;;;;;;;;;x,,,
italian_call_to_union;Italian Call to Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
italian_call_to_union_desc;The time has come to call upon the Italian people to rise up and unite under a common banner. Risorgimento must commence!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
italian_call_to_union_title;Italian Call to Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
iwakura_mission_desc;Now that we are a power to be reckoned with, the western nations cannot ignore us. An idea has surfaced to send a diplomatic mission to the West, to not only attempt a renogotiation of the unequal treaties forced upon our nation in weaker times but also to learn more of their ways and assist in our own modernization.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
iwakura_mission_title;Iwakura Mission;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
japanese_sakhalin_desc;With Japan now in full control of Sakhalin and the Kurils, the world must recognize that these islands are essentially part of the Japanese archipelago and know them by their Japanese names.;;;;;;;;;;;;;x,,,,,,,,,,,,
japanese_sakhalin_title;Japanese Sakhalin;;;;;;;;;;;;;x,,,,,,,,,,,,,
join_kalmar_union_desc;The time has come for our nation to take part in the growing Scandinavian union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_kalmar_union_title;Join the Kalmar Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_slave_trade_desc;Now that the Atlantic Slave Trade has been established once more, we have the opportuniy to join it and reap the infamous profits of an age-old institution. Though it will anger the Great Powers, perhaps it shall lead to an alliance between these Atlantic slave states?;;;;;;;;;;;;;x
join_slave_trade_title;Join the Atlantic Slave Trade;;;;;;;;;;;;;x
join_the_KMT_desc;Now that we control Beijing, we are in a position to aid the cause of Nationalist China. We must join our forces with theirs, for the good of all!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
join_the_KMT_title;Join the Kuomintang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kalmar_union;Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kalmar_union_desc;We have agreed in principle to a closer bond with the other Scandinavian nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kanagawa_treaty_desc;With enough pressure placed on the Japanese, they will be forced to the negotiating table. A treaty can be hammered out at Kanagawa which will see Japan opened to outside trade and influence, and our superiority proven beyond the shadow of a doubt.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
kanagawa_treaty_title;The Treaty of Kanagawa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai_desc;This was a policy of the Tokugawa shogunate aiming at increasing political coordination between the bakufu and the Imperial Court, as well as appeasing opponents within the shogunate itself.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
kobu_gattai_title;Kobu Gattai;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kuomintang_faction;Kuomintang Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kurdish_diaspora_desc;Our Kurdish brothers are crying out for freedom, we should bring them into our nation and return them to us;;;;;;;;;;;;;x,,
kurdish_diaspora_title;The Kurdish Diaspora;;;;;;;;;;;;;x,,,
law_of_guarantees2_desc;Amendments need to be made to the law about other nations we have come in control of;;;;;;;;;;;;;x
law_of_guarantees2_title;Law of Guarantees;;;;;;;;;;;;;x
leader_of_kalmar;Leader of the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
leader_of_kalmar_desc;We are the leader of the movement to unite the Scandinavian people under a single flag.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
league_of_three_emperors2_desc;After the defeat of Napoleon, a Holy Alliance was once formed between Prussia, Austria and Russia. Perhaps the time has come to resurrect that alliance, a common front between our three monarchies to stand against the wave of revolution and change and Europe?;;;;;;;;;;;;x,,,,,,,,,,
league_of_three_emperors2_title;The League of Three Emperors;;;;;;;;;;;;x,,,,,,,,,,,,,
league_of_three_emperors_desc;After the defeat of Napoleon, a Holy Alliance was once formed between Prussia, Austria and Russia. Perhaps the time has come to resurrect that alliance, a common front between our three monarchies to stand against the wave of revolution and change and Europe?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
league_of_three_emperors_title;The League of Three Emperors;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
leave_slave_trade_desc;Though at once it seemed like a good and profitable idea, the Atlantic Slave Trade has only brought us ruin and infamy. It is time to end our participation in this damned trade.;;;;;;;;;;;;;x
leave_slave_trade_title;Leave the Atlantic Slave Trade;;;;;;;;;;;;;x
line_of_advantage;Line of Advantage;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
line_of_advantage_desc;The concept of riekisen, or the 'line of advantage', means that we must extend Japanese influence beyond our national borders in order to ensure our security. This means turning all of the Japanese military, and indeed our people, to the notion of foreign conquest and glory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
lucky_nation;A Lucky Nation;;;;;;;;;x
maldives_protectorate_desc;With our power over the Maldivian Sultanate we can force him to accept our indirect rule;;;;;;;;;;;;;x
maldives_protectorate_title;Maldives Protectorate;;;;;;;;;;;;;x
meddled_in_foreign_affairs;Meddled in Foreign Affairs;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
mediate_belgian_independence_desc;While Belgium's de facto independence from The Netherlands had been established by force of arms during the Belgian revolution of 1831, it has not been confirmed de jure by The Netherlands and technically a state of war still exists between the two nations. The idea has arisen that the British Empire should step in and mediate a settlement, demanding the Dutch give up their claims in return for guarantees of Belgian independence and control over Luxembourg. With the powers of Europe at the table, it seems unlikely the Dutch would refuse.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
mediate_belgian_independence_title;Mediate Belgian Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
meiji_constitution_desc;After an exhaustive study of western democratic methods, japanese scholars have settled on a method of government where the Emperor will preside over an Imperial Diet, elected by the people and yet preserving both Imperial power as well as our traditions. This, they believe, is the best way for Japan to move forward into the modern era.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
meiji_constitution_title;Meiji Constitution;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
mombasa_sale_desc;The Mombasa coast is almost worthless to us, but might be of value to the neighbouring colonial administration in Kenya. We should consider selling it for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
mombasa_sale_title;Sell Mombasa;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
mongolian_protectorate_desc;Our influence in Mongolia is such that we are in a position to pry the nation away from the Chinese and into our control. They would be our vassals, benefiting from protection against Chinese claims on their land.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
mongolian_protectorate_title;The Mongolian Protectorate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
moret_law_desc;The Moret Law granted freedom to slaves in Puerto Rico born after 1868, slaves who served in the Spanish Army, slaves over 60 years old, and slaves who were owned by the Spanish government. It was the first in a series of reforms that saw slavery ended in Peurto Rico, well before it was ended in other Spanish colonies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
moret_law_title;The Moret Law;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_accra_desc;Accra provides a better capital for our nation-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_accra_title;Move Capital to Accra;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_algiers_desc;Algiers now belongs to us. It is time to move our government back to its proper place!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_algiers_title;Move Capital to Algiers;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_bamako_desc;Niamey provides a better capital for Mali-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_bamako_title;Move Capital to Bamako;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_dar_es_salaam_desc;Dar-es-Salaam provides a better capital for Tanganyika-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_dar_es_salaam_title;Move Capital to Dar-es-Salaam;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_delhi_desc;Now that India has unified, we should consider moving the capital to a more central-- and traditional-- city. Delhi: the heart of India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_delhi_title;Move Capital to Delhi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_gothenburg_desc;Gˆteborg is the center of the Scandinavian nation and would be a perfect Capital for our great nation and further unite our people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_gothenburg_title;Gˆteborg, a Scandinavian Capital;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_moscowSOV_desc;Glorious St Petersburg, the city of Peter the Great, is uncomfortably close to the border. Perhaps it would be prudent to move our capital back to Moscow, the Pervoprestolnaya", which invading armies might find harder to reach...";La glorieuse Saint-PÈtersbourg, ville de Pierre le Grand, est inconfortablement proche de la frontiËre. Il serait peut-Ítre plus prudent de retransfÈrer notre capitale ‡ Moscou, la ´ Pervoprestolnaya ª, que les armÈes díinvasion auront plus de mal ‡ rejoindre...;Das famose St. Petersburg, Stadt Peter des Groﬂen, liegt unangenehm nah an der Grenze. Vielleicht w‰re es sinnvoll, unsere Hauptstadt zur¸ck nach Moskau, der "Perwoprestolnaja", zu verlegen, das f¸r einfallende Armeen schwerer zu erreichen ist ...;;La gloriosa San Petersburgo, ciudad de Pedro el Grande, est· incÛmodamente cerca de la frontera. Puede que sea prudente trasladar de nuevo la capital a Mosc˙, la "Pervoprestolnaya", mucho m·s difÌcil de alcanzar para los ejÈrcitos enemigos...;;;;;;;;x
move_capital_to_moscowSOV_title;Return to the Third Rome;Retourner ‡ la TroisiËme Rome;Zur¸ck zum Dritten Rom;;Volver a la tercera Roma;;;;;;;;x
move_capital_to_niamey_desc;Niamey provides a better capital for Niger-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_niamey_title;Move Capital to Niamey;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
muhammad_alis_reforms;Muhammad Ali's Reforms;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
muhammad_alis_reforms_desc;We have instituted the reforms of Muhammad Ali, and while these rapid advancements will slow down our progress in the short term, the benefits to our military and our overall efficiency will be invaluable.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
neutral_faction;Part of no Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
no_freedom;Attempted Freedom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
no_freedom_desc;We attempted to free ourselves from foreign rule. We must wait until there is another opportunity, as for now they are watching us closely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
no_line_of_advantage;Path of Progress;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
no_line_of_advantage_desc;Instead of focusing on military might and conquest, Japanese security must be provided by devotion to technological progress and reform. We must match the Western powers, and quickly, or they will surely take advantage and find Japan sorely unprepared.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
north_borneo_company_desc;Rights to trading ports along the northern coast of Borneo have been granted to several companies through treaties-- and have recently fallen to Alfred Dent of London. Through him, we may conduct a new treaty that turns these rights into colonial concessions. Considering that the control of the local sultans over these areas is murky at best, and more than one has sometimes granted rights to the same areas, it truly seems as if we are obtaining clearance for the creation of a British North Borneo Company rather than wresting land from the natives.;;;;;;;;;;;;x,,,,,,,,,,
north_borneo_company_title;Lease North Borneo;;;;;;;;;;;;x,,,,,,,,,,,,,
objects_to_italy;Objects to Italian Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
occupation_of_araucania_desc;A proposal has been brought forth to finally push into the southern lands of Araucania and pacify them once and for all. Lonca must make its claim so none can deny us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
occupation_of_araucania_title;Occupation of Araucania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
orange_river_convention_desc;The Steenkoolers of the Tusstrom are becoming increasingly resistant to colonial rule. The time has come to meet with them at Rosensted and discuss the terms of their independence - preferably subject to our conditions, which are that they abandon all laws allowing slavery and that our influence within their borders remain strong.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
orange_river_convention_title;Call the Heeckeren River Convention;;;;;;;;;x
order_to_expel_barbarians_desc;Since the ascension of the Tokugawa Shogun, the role of the Emperor has been confined to that of figurehead. We lead Japan, yet we do not. Recently, the leadership of the Shogun has come into question. His increasing inability to deal with foreigners in a way that shows any manner of leadership compels the Emperor to act-- with or without the Shogun's permission. We shall send out a call to the people in our own name, demanding they rise up and throw out the foreigners that the Shogun will not.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
order_to_expel_barbarians_title;Order to Expel Barbarians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organise_kamchatka_desc;The region of Kamchatka needs to be reorganized so we can more properly govern the region to make sure it is a proper Russian region;;;;;;;;;;;;;x
organise_kamchatka_title;Organise Kamchatka;;;;;;;;;;;;;x
organize_CAR_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_CAR_title;Organize Ubangi-Chari;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_algeria_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_algeria_title;Organize Algeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_angola_desc;Angola is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_angola_title;Organize the Angolan Colony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_bostwana_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_botswana_title;Organize Bechuanaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_burkina_faso_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_burkina_faso_title;Organize Burkina Faso;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_cameroon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_cameroon_title;Organize Cameroon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_chad_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_chad_title;Organize Chad;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_congo_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_congo_title;Organize Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_dahomey_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_dahomey_title;Organize Dahomey;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_gabon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_gabon_title;Organize Gabon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_gambia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_gambia_title;Organize the Gambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_ghana_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_ghana_title;Organize Ghana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_guinea_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_guinea_title;Organize Guinea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_indochina_desc;Our colonies in Indochina are becoming a true part of the country. We must create the proper structures, so that they stand on par with our other national states.;;;;;;;;;;;;;x
organize_indochina_title;Organize Indochina;;;;;;;;;;;;;x
organize_indonesia_desc;Our colonies in the East Indies are becoming a true part of the country. We must create the proper structures, so that they stand on par with our other national states.;;;;;;;;;;;;;x,,,,,,,,,,,,
organize_indonesia_title;Organize Indonesia;;;;;;;;;;;;;x,,,,,,,,,,,,,
organize_ivory_coast_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_ivory_coast_title;Organize Ivory Coast;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_kenya_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_kenya_title;Organize Kenya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_laos_desc;We should organize the Laotian colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_laos_title;Organize Lan Xang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_libya_TUR_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_libya_TUR_title;Organize Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_libya_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_libya_title;Organize Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_malawi_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_malawi_title;Organize Nyasaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mali_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_mali_title;Organize Mali;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mauretania_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_mauretania_title;Organize Mauretania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mozambique_desc;Mozambique is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_mozambique_title;Organize the Mozambican Colony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_niger_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_niger_title;Organize Niger;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_nigeria_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_nigeria_title;Organize Nigeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_senegal_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_senegal_title;Organize Senegal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_sierra_leone_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_sierra_leone_title;Organize Sierra Leone;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_sudan_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_sudan_title;Organize Sudan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
